name	label
鸡[月君]梅花草	1
疣果大戟	1
俅江枳椇	0
狭叶杜香	0
滇羌活	0
尾囊果	0
独龙树萝卜	1
惟丽杜鹃	1
福氏木蓝	1
黄牙白	1
异萼飞蛾藤	1
千年红	1
膜荚黄芪	0
长爪锦鸡儿	1
毛柱蝇子草	1
少齿冬青	1
阿蔓苋	0
水田芥	0
脱皮麻	0
普氏马先蒿	1
白藨	0
峦大秋海棠	0
药芹	0
黑加仑	0
圆枝棉藓	0
绿薄荷	0
宜山秋海棠	0
通条树	0
长叶杜鹃兰	1
老君须	1
干氏毛兰	1
夜牵牛	1
细刺栲	0
勐棒省藤	0
深山米芒	0
大叶排草	0
安豆	0
块根假野芝麻	0
通耳草	1
北极林奈草	0
香港崖豆藤	0
大毛叶木莲	0
飞机藤	1
三齿粉藜	1
匍匐灰栒子	0
铜锣桂	1
大叶蓝梅	0
曾氏米仔兰	1
红背大黄	1
枸血子	0
钟萼木	1
咪民	0
藏青果	0
秃败酱	0
少脉毛椴	1
红叶秋海棠	0
追风蒿	0
假木棉	0
鞋底叶树	1
南昆山杜鹃	1
毛叶米饭花	1
钱串草	1
滇橄榄	0
华南紫树	0
金翼黄芪	1
贺兰山岩黄蓍	0
深裂叶羊蹄甲	1
多花山竹子	0
心煊绣球	1
二蕊拟漆姑	0
鸡脚三树	1
小花蒙古蒿	0
折角杜鹃	1
倒钩草	1
小雏兰	0
痒痒树	1
道县野桔	0
猫屎瓜	1
牛丁角	1
山竹公	1
带赤鹿藿	1
二节豆	0
蔓茄	0
楸木	0
钻山风	1
四川红淡	0
亚那藤	0
小花烟	0
多脉葱臭木	1
田尾草	1
万年蒿	1
圆叶野百合	1
辣根菜	0
驳节莲树	0
缺萼苔	0
毛稃早熟禾	0
鱼骨槐	1
狐尾藻棘豆	1
恒春石豆兰	1
狗胡花	1
峨眉卫矛	1
元江苏铁	1
长尖走灯藓	1
布氏地丁	1
黄楠	0
京大戟	1
红梅杏	0
大叶锥栗	1
黄桂	0
蒙蒙木	0
爱国草	1
草木樨黄耆	0
燕子石斛	1
猛一撒	0
红泡刺藤	0
冰粉树	1
长芒以礼草	0
西风	1
月牙一支蒿	1
奇形绣球花	0
三颗针	1
大叶观音草	1
大山楂	0
马狼柴	1
秋根李	0
长叶冬青	0
景洪蜂斗草	1
茶藤	0
黄栗	0
老鸦泡	1
三叶草	0
番羌	0
无刺空心泡	0
黄花丹参	0
南粤野茉莉	0
假西藏石栎	0
狭叶艾	0
黄槁	0
薯豆	0
单花吊钟花	1
普儿芒	0
光治疝草	0
天山麦杆菊	1
荒漠霞草	1
尖尾铁苋	1
埃望鼠尾草	1
细四葎	0
天台黄枝槭	0
罗氏叶苔	1
馒头麦瓶草	1
山观音	1
钝叶赫德木	0
瘤柄走灯藓	1
长梗龙胆	1
康定杜鹃	1
山红豆	0
高大槭	0
野梢瓜	0
网膜籽	0
铁篱笆	1
葛麻姆	0
红小麻草	0
懒狗舌	1
黄花美人蕉	1
矮根节兰	0
牛肋巴	1
保亭榕	0
红花蚤缀	0
麝香野豌豆	0
辽堇菜	0
刚毛叠子草	0
喜马拉雅塔藓	1
高山珊瑚	0
胡氏勾儿茶	1
绢毛北附地菜	1
木兰	0
镰叶山扁豆	1
辣蓼	0
鹿耳草	1
中国白珠树	1
脉基巢菜	1
弱距堇菜	0
橙色丝带藓	1
墨脱山小桔	0
青缸草	1
仁人木	1
猪屎青	1
显脉山莓草	1
红苦豆子	0
毛细累子草	0
直立无距花	0
矮桐子	0
窄序岩豆	0
宽瓣红景天	1
长柄冷水麻	0
邓柳	0
银梅草	0
披针叶南洋杉	1
荷花	0
台湾天料木	1
老鼠花	1
抱茎眼子菜	1
青皮婆	1
鸡针木	1
驴耳朵菜	1
瓠	0
鸭距粟	1
柔花香花藤	0
缅无忧花	1
旱禾树	0
湖北络石	0
旱茨菇	0
黄花凤仙花	1
浙江乳突果	1
毛乳豆	0
黄泡子	0
肿节风	0
调经草	0
阿里山草胡椒	0
褐沙蒿	0
走茎鹅脚板	1
鸡爪芋	1
通麦白珠	1
卷叶角苔	1
膜果白刺	0
苹果蓟	0
红软柴胡	0
白花灰毛槐	0
维氏报春	1
山猪菜藤	1
